topic,termWordsStr,termWeightsStr
5,"belcredi,sì,landolfo,baldovino.,matilde,così,fabio.,maurizio.,ciò,nolli","5.35420858876578E-4,3.625646081065371E-4,3.4906819460219776E-4,3.428282524076414E-4,3.274957030173767E-4,3.2053040390012474E-4,2.8025214422293783E-4,2.6658335650082526E-4,2.6440385133631446E-4,2.4846789228269314E-4"
8,"thir,ilse,sagte,onnen,–,thy,heav’n,th’,»ich,dr.","2.67644286777274E-4,1.7849003882442125E-4,1.4382864138378894E-4,1.3702642189392217E-4,1.2567964244232217E-4,1.0312436661303665E-4,9.323573556846735E-5,9.130390472537608E-5,9.020703100417061E-5,8.518962723880658E-5"
9,"‘t,zee,maor,ie,as,veur,daor,gwynplaine,zoo,jaaije","6.089646633194403E-4,2.3556811476421237E-4,2.2858495528540692E-4,2.2173557758745476E-4,2.195960764637018E-4,1.841010000457119E-4,1.5309960121445183E-4,1.5015814740105708E-4,1.5007447404862367E-4,1.333398069642464E-4"
7,"á,vd.,usted,tan,pepe,tirso,ser,después,doña,condesa","0.003249230026164475,5.278186122739605E-4,3.22091184031898E-4,3.154827640538773E-4,2.993781095513066E-4,2.973995487792852E-4,2.8945732367329364E-4,2.633824876367624E-4,2.6079375714282266E-4,2.5636095167964694E-4"
1,"egli,disse,—,senza,così,ella,quando,poi,quel,cosa","0.0013883825483689718,0.001378591691471916,0.0012205580835076492,0.0012180890421426404,0.0010848025686078934,0.0010730326882675619,0.0010561737697481622,0.001034290770876362,9.141506595601119E-4,8.740300760269732E-4"
0,"would,said,could,one,mr.,upon,little,much,must,us","0.002618319289777542,0.002392311673870653,0.002391052482239885,0.002280253842915317,0.0017367949055086707,0.0017189087496751944,0.001177744886876482,0.0011272432242731072,0.0010590839019952955,0.001046156445757561"
3,"–,!…,plus,qu’il,cette,comme,;,tout,si,!","0.0049401430181701825,0.0033460852387396838,0.0029187930129686785,0.00279472911847347,0.002684744394305936,0.002486269747874887,0.002279144826014722,0.0022095310502321017,0.0020860052330649984,0.0019404197636668451"
4,"sagte,ilse,schon,ganz,mehr,»ich,immer,wohl,ja,hatte,","0.0011397942804944777,0.001124518143601697,0.0010517045667008437,8.409895091462449E-4,7.646157751476707E-4,7.049401639838969E-4,6.817818988888919E-4,6.167175761679999E-4,6.123112789468846E-4,5.983090103073791E-4"
2,"і,що,з,та,як,ilse,й,onnen,не,на","7.253531012160192E-4,2.966806788652124E-4,2.935922730509306E-4,2.57102759839762E-4,2.301566174345276E-4,1.940356291537691E-4,1.7557924160672812E-4,1.6383001476750063E-4,1.4151319670429317E-4,1.3750405908947335E-4"
